dt_reference;id_city_origin;id_city_destination;freight_cost
01/04/2022;5107040,0;4118204,0;370,0
08/04/2022;5107040,0;4118204,0;365,0
22/04/2022;5107040,0;4118204,0;360,0
29/04/2022;5107040,0;4118204,0;375,0
13/05/2022;5107040,0;4118204,0;390,0
03/06/2022;5107040,0;4118204,0;380,0
10/06/2022;5107040,0;4118204,0;397,5
17/06/2022;5107040,0;4118204,0;397,0
24/06/2022;5107040,0;4118204,0;420,0
01/07/2022;5107040,0;4118204,0;395,0
08/07/2022;5107040,0;4118204,0;420,75
15/07/2022;5107040,0;4118204,0;410,0
22/07/2022;5107040,0;4118204,0;417,67
29/07/2022;5107040,0;4118204,0;469,0
02/09/2022;5107040,0;4118204,0;356,67
09/09/2022;5107040,0;4118204,0;340,0
23/09/2022;5107040,0;4118204,0;350,0
30/09/2022;5107040,0;4118204,0;345,0
07/10/2022;5107040,0;4118204,0;335,0
14/10/2022;5107040,0;4118204,0;320,0
21/10/2022;5107040,0;4118204,0;307,5
04/11/2022;5107040,0;4118204,0;292,5
18/11/2022;5107040,0;4118204,0;305,0
09/12/2022;5107040,0;4118204,0;327,0
23/12/2022;5107040,0;4118204,0;400,0
13/01/2023;5107040,0;4118204,0;385,0
27/01/2023;5107040,0;4118204,0;367,67
03/02/2023;5107040,0;4118204,0;396,6
10/02/2023;5107040,0;4118204,0;415,0
03/03/2023;5107040,0;4118204,0;347,5
14/04/2023;5107040,0;4118204,0;377,5
12/05/2023;5107040,0;4118204,0;348,0
19/05/2023;5107040,0;4118204,0;381,25
26/05/2023;5107040,0;4118204,0;393,33
23/06/2023;5107040,0;4118204,0;376,0
30/06/2023;5107040,0;4118204,0;388,25
07/07/2023;5107040,0;4118204,0;426,0
14/07/2023;5107040,0;4118204,0;435,0
28/07/2023;5107040,0;4118204,0;440,0
15/09/2023;5107040,0;4118204,0;411,0
22/09/2023;5107040,0;4118204,0;417,0
06/10/2023;5107040,0;4118204,0;405,0
20/10/2023;5107040,0;4118204,0;382,0
27/10/2023;5107040,0;4118204,0;387,5
24/11/2023;5107040,0;4118204,0;378,0
08/12/2023;5107040,0;4118204,0;373,0
